,Counties,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,Total,Rural
71,Pickens,0,1 ,1 ,0,0,0,1 ,0,1 ,3 ,3 ,5 ,1 ,2 ,3 ,2 ,0,3 ,26 ,1
72,Pierce,0,1 ,0,1 ,0,0,1 ,0,1 ,0,1 ,1 ,1 ,0,1 ,2 ,0,3 ,13 ,1
73,Pike,2 ,1 ,0,0,0,0,0,0,0,0,0,1 ,0,0,0,1 ,0,1 ,6 ,1
74,Pulaski,0,0,0,0,0,0,0,0,0,0,0,0,1 ,0,0,0,0,2 ,3 ,1
75,Putnam,0,0,0,1 ,1 ,1 ,0,0,0,0,1 ,0,1 ,0,4 ,2 ,1 ,0,12 ,1
76,Quitman,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
77,Rabun,0,0,0,2 ,0,0,0,1 ,2 ,0,2 ,1 ,1 ,0,1 ,1 ,0,1 ,12 ,1
78,Randolph,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
79,Schley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
80,Screven,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
81,Seminole,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
82,Stephens,0,0,2 ,0,1 ,1 ,1 ,1 ,0,3 ,2 ,1 ,3 ,4 ,0,3 ,1 ,2 ,25 ,1
83,Stewart,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1 ,1 ,1
84,Sumter,0,0,0,0,0,0,1 ,0,0,0,0,1 ,0,1 ,0,1 ,0,0,4 ,1
85,Talbot,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
86,Taliaferro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
87,Tattnall,1 ,0,0,1 ,1 ,0,1 ,0,1 ,1 ,1 ,3 ,1 ,0,0,2 ,2 ,0,15 ,1
88,Taylor,0,1 ,0,0,0,0,0,0,0,0,0,0,0,0,0,2 ,0,0,3 ,1
89,Telfair,0,0,0,0,0,0,0,1 ,0,1 ,0,2 ,1 ,0,2 ,0,0,0,7 ,1
90,Terrell,0,0,0,0,0,0,1 ,0,0,0,0,0,0,0,0,0,0,0,1 ,1
91,Toombs,0,0,0,0,0,0,0,1 ,0,0,0,3 ,0,0,0,1 ,2 ,1 ,8 ,1
92,Towns,0,1 ,0,0,0,0,0,0,1 ,1 ,2 ,0,2 ,1 ,0,0,1 ,2 ,11 ,1
93,Treutlen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
94,Turner,0,0,0,0,0,0,0,0,1 ,0,0,0,0,0,0,0,0,1 ,2 ,1
95,Twiggs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1 ,0,0,1 ,2 ,1
96,Union,0,0,1 ,1 ,0,1 ,0,1 ,1 ,1 ,0,1 ,1 ,0,3 ,0,2 ,2 ,15 ,1
97,Upson,0,0,0,0,1 ,0,0,0,0,2 ,0,2 ,2 ,3 ,1 ,3 ,1 ,2 ,17 ,1
98,Warren,0,1 ,0,0,0,0,0,0,1 ,0,0,0,0,1 ,0,0,0,0,3 ,1
99,Washington,1 ,0,0,0,1 ,0,1 ,0,0,0,0,1 ,0,0,1 ,1 ,1 ,1 ,8 ,1
100,Wayne,0,0,0,2 ,6 ,0,2 ,3 ,1 ,4 ,2 ,4 ,3 ,1 ,4 ,2 ,4 ,3 ,41 ,1
101,Webster,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
102,Wheeler,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
103,White,0,0,0,0,1 ,2 ,1 ,0,1 ,0,1 ,1 ,5 ,4 ,3 ,4 ,4 ,2 ,29 ,1
104,Wilcox,0,0,0,0,0,0,1 ,0,0,1 ,1 ,0,0,0,0,0,1 ,1 ,5 ,1
105,Wilkes,0,0,0,0,0,0,0,0,0,1 ,1 ,0,0,0,0,0,0,0,2 ,1
106,Wilkinson,0,0,0,2 ,0,0,0,0,0,0,0,0,0,0,0,0,1 ,0,3 ,1
107,Worth,0,0,0,1 ,1 ,0,0,0,0,0,0,0,0,0,1 ,1 ,0,2 ,6 ,1
108,Baldwin,0,0,0,1 ,0,0,1 ,1 ,0,0,1 ,1 ,0,0,1 ,1 ,0,0,7 ,0
109,Barrow,1 ,0,1 ,1 ,2 ,0,0,3 ,3 ,9 ,4 ,5 ,3 ,2 ,2 ,2 ,3 ,7 ,48 ,0
110,Bartow,1 ,1 ,3 ,2 ,1 ,2 ,3 ,1 ,0,4 ,5 ,8 ,6 ,7 ,1 ,7 ,7 ,12 ,71 ,0
111,Bibb,2 ,1 ,3 ,2 ,2 ,3 ,4 ,0,3 ,2 ,2 ,4 ,5 ,4 ,3 ,8 ,4 ,5 ,57 ,0
112,Bulloch,0,0,0,0,1 ,0,2 ,0,1 ,1 ,0,1 ,0,0,2 ,0,2 ,1 ,11 ,0
113,Camden,0,0,0,2 ,0,0,3 ,1 ,0,0,2 ,2 ,3 ,1 ,2 ,1 ,4 ,1 ,22 ,0
114,Carroll,0,0,1 ,4 ,3 ,7 ,5 ,3 ,11 ,12 ,10 ,7 ,6 ,5 ,3 ,9 ,6 ,11 ,103 ,0
115,Catoosa,0,0,0,0,5 ,4 ,0,0,0,5 ,5 ,4 ,5 ,8 ,1 ,7 ,3 ,6 ,53 ,0
116,Chatham,4 ,4 ,10 ,6 ,0,5 ,1 ,5 ,4 ,6 ,11 ,8 ,10 ,10 ,11 ,11 ,11 ,9 ,126 ,0
117,Cherokee,1 ,1 ,2 ,3 ,3 ,2 ,5 ,6 ,9 ,6 ,13 ,8 ,11 ,10 ,15 ,15 ,28 ,25 ,163 ,0
118,Clarke,0,1 ,0,0,1 ,3 ,3 ,3 ,0,3 ,2 ,2 ,8 ,6 ,3 ,5 ,6 ,9 ,55 ,0
119,Clayton,4 ,5 ,4 ,8 ,7 ,4 ,4 ,6 ,6 ,6 ,7 ,7 ,9 ,11 ,10 ,12 ,13 ,13 ,136 ,0
120,Cobb,10 ,17 ,14 ,15 ,7 ,10 ,8 ,4 ,6 ,14 ,13 ,10 ,9 ,14 ,10 ,40 ,55 ,70 ,326 ,0
121,Coffee,1 ,0,1 ,0,0,0,1 ,0,2 ,1 ,0,5 ,3 ,0,1 ,3 ,2 ,5 ,25 ,0
122,Colquitt,0,1 ,0,0,0,0,1 ,0,0,1 ,1 ,2 ,2 ,0,1 ,2 ,1 ,0,12 ,0
123,Columbia,1 ,1 ,1 ,0,1 ,0,1 ,2 ,0,2 ,3 ,8 ,3 ,2 ,5 ,4 ,6 ,12 ,52 ,0
124,Coweta,1 ,0,0,1 ,1 ,6 ,9 ,2 ,4 ,3 ,5 ,3 ,7 ,7 ,6 ,5 ,6 ,10 ,76 ,0
125,DeKalb,7 ,6 ,16 ,14 ,12 ,6 ,7 ,12 ,14 ,17 ,12 ,13 ,26 ,22 ,15 ,28 ,38 ,40 ,305 ,0
126,Dougherty,3 ,0,0,0,0,0,2 ,0,2 ,4 ,4 ,0,1 ,3 ,3 ,1 ,1 ,3 ,27 ,0
127,Douglas,0,3 ,2 ,4 ,2 ,1 ,0,1 ,3 ,3 ,3 ,4 ,7 ,4 ,2 ,15 ,8 ,14 ,76 ,0
128,Effingham,0,0,2 ,1 ,1 ,1 ,0,1 ,2 ,0,1 ,2 ,0,1 ,4 ,1 ,0,3 ,20 ,0
129,Fayette,1 ,1 ,1 ,2 ,2 ,2 ,2 ,1 ,2 ,2 ,5 ,3 ,5 ,3 ,1 ,9 ,12 ,4 ,58 ,0
130,Floyd,0,2 ,2 ,4 ,2 ,1 ,3 ,0,6 ,6 ,3 ,6 ,4 ,2 ,6 ,4 ,7 ,7 ,65 ,0
131,Forsyth,2 ,1 ,1 ,4 ,0,2 ,3 ,2 ,9 ,5 ,6 ,10 ,11 ,10 ,16 ,17 ,16 ,9 ,124 ,0
132,Fulton,26 ,26 ,45 ,24 ,37 ,33 ,38 ,25 ,34 ,46 ,35 ,29 ,34 ,43 ,43 ,65 ,81 ,85 ,749 ,0
133,Glynn,0,1 ,1 ,0,0,0,0,2 ,2 ,1 ,2 ,0,2 ,4 ,6 ,2 ,2 ,3 ,28 ,0
134,Gordon,2 ,2 ,1 ,1 ,1 ,0,0,0,1 ,3 ,5 ,3 ,6 ,1 ,3 ,2 ,1 ,4 ,36 ,0
135,Gwinnett,5 ,7 ,10 ,11 ,9 ,9 ,11 ,10 ,15 ,19 ,20 ,30 ,18 ,25 ,35 ,31 ,55 ,35 ,355 ,0
136,Habersham,1 ,0,0,0,0,1 ,3 ,0,3 ,1 ,4 ,2 ,0,5 ,1 ,1 ,0,4 ,26 ,0
137,Hall,1 ,1 ,2 ,4 ,3 ,6 ,3 ,5 ,4 ,4 ,11 ,7 ,4 ,7 ,5 ,7 ,9 ,8 ,91 ,0
138,Henry,0,2 ,3 ,1 ,3 ,2 ,3 ,7 ,3 ,5 ,10 ,5 ,11 ,5 ,6 ,7 ,10 ,20 ,103 ,0
139,Houston,0,2 ,0,0,1 ,0,0,1 ,2 ,2 ,2 ,5 ,2 ,2 ,2 ,3 ,2 ,3 ,29 ,0
140,Jackson,0,1 ,2 ,2 ,2 ,5 ,1 ,1 ,2 ,3 ,6 ,5 ,6 ,7 ,3 ,2 ,9 ,3 ,60 ,0
141,Laurens,0,0,1 ,0,2 ,0,1 ,0,4 ,3 ,1 ,1 ,3 ,2 ,1 ,2 ,2 ,1 ,24 ,0
142,Liberty,0,0,1 ,0,0,1 ,1 ,1 ,1 ,1 ,2 ,0,0,3 ,2 ,2 ,1 ,2 ,18 ,0
143,Lowndes,1 ,1 ,1 ,0,0,1 ,0,1 ,0,1 ,1 ,0,2 ,3 ,1 ,0,0,2 ,15 ,0
144,Murray,0,1 ,2 ,1 ,0,0,2 ,1 ,2 ,3 ,1 ,2 ,7 ,1 ,3 ,1 ,4 ,1 ,32 ,0
145,Muscogee,0,0,1 ,3 ,5 ,1 ,2 ,0,2 ,3 ,7 ,5 ,4 ,6 ,6 ,11 ,5 ,5 ,66 ,0
146,Newton,0,0,2 ,0,1 ,2 ,4 ,1 ,3 ,1 ,4 ,4 ,4 ,2 ,6 ,4 ,5 ,4 ,47 ,0
147,Paulding,0,0,0,1 ,2 ,2 ,3 ,7 ,7 ,7 ,10 ,15 ,12 ,11 ,6 ,17 ,11 ,13 ,124 ,0
148,Polk,1 ,0,0,0,0,1 ,1 ,1 ,1 ,0,0,5 ,3 ,4 ,2 ,1 ,2 ,3 ,25 ,0
149,Richmond,1 ,1 ,0,6 ,6 ,2 ,3 ,0,4 ,6 ,5 ,9 ,3 ,6 ,3 ,7 ,11 ,20 ,93 ,0
150,Rockdale,1 ,1 ,1 ,1 ,2 ,2 ,2 ,1 ,0,3 ,0,0,3 ,6 ,4 ,4 ,3 ,5 ,39 ,0
151,Spalding,0,0,2 ,0,1 ,4 ,1 ,4 ,3 ,2 ,5 ,3 ,3 ,5 ,0,1 ,5 ,4 ,43 ,0
152,Thomas,0,0,0,0,0,1 ,0,0,0,0,1 ,0,0,1 ,1 ,0,1 ,2 ,7 ,0
153,Tift,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2 ,2 ,4 ,0
154,Troup,0,0,0,2 ,1 ,2 ,0,2 ,1 ,0,3 ,2 ,6 ,1 ,1 ,6 ,3 ,3 ,33 ,0
155,Walker,0,0,0,1 ,2 ,3 ,5 ,0,1 ,1 ,2 ,1 ,6 ,3 ,7 ,6 ,2 ,8 ,48 ,0
156,Walton,0,0,3 ,1 ,3 ,2 ,3 ,1 ,2 ,5 ,1 ,5 ,3 ,7 ,8 ,7 ,7 ,9 ,67 ,0
157,Ware,0,0,1 ,1 ,0,2 ,1 ,2 ,0,3 ,4 ,0,4 ,0,2 ,6 ,1 ,0,27 ,0
158,Whitfield,0,0,2 ,2 ,1 ,3 ,0,0,1 ,8 ,5 ,8 ,6 ,3 ,4 ,1 ,5 ,1 ,50 ,0
