Deaths  by Residence, All Opioids, Female
		1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	Selected Years Total
		Deaths 	Deaths 	Deaths 	Deaths 	Deaths 	Deaths 	Deaths 	Deaths 	Deaths 	Deaths 	Deaths 	Deaths 	Deaths 	Deaths 	Deaths 	Deaths 	Deaths 	Deaths 	Deaths 

Macon	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	

Madison	 	1 	1 	 	2 	 	 	 	 	 	3 	3 	3 	2 	5 	1 	1 	 	22 	

Marion	 	 	 	 	 	 	 	 	 	 	 	1 	 	 	 	 	 	 	1 	

Meriwether	 	 	 	 	1 	 	 	 	1 	1 	 	1 	1 	2 	1 	1 	 	 	9 	

Miller	 	 	 	 	 	 	 	 	 	 	 	1 	 	1 	 	 	 	 	2 	

Mitchell	 	 	 	 	 	2 	1 	 	1 	 	 	1 	 	 	1 	1 	1 	 	8 	

Monroe	 	 	 	 	2 	 	1 	 	 	 	 	1 	1 	1 	1 	1 	 	1 	9 	

Montgomery	 	 	 	 	 	 	 	 	1 	 	 	 	 	 	 	1 	 	 	2 	

Morgan	 	 	 	 	 	 	 	1 	 	 	 	1 	 	 	1 	 	1 	 	4 	

Oconee	 	 	 	 	 	 	 	1 	 	 	 	1 	 	1 	2 	1 	 	 	6 	

Oglethorpe	 	 	 	 	 	 	 	 	 	 	 	 	1 	 	 	1 	1 	 	3 	

Peach	 	 	 	 	 	1 	 	 	 	 	 	 	1 	 	2 	 	 	1 	5 	

Pickens	 	 	 	1 	 	 	 	 	1 	 	 	3 	1 	1 	 	1 	1 	1 	10 	

Pierce	 	 	 	 	 	 	1 	 	 	 	2 	 	 	1 	1 	1 	1 	 	7 	

Pike	 	 	 	 	 	 	 	 	1 	 	 	 	1 	 	 	 	 	 	2 	

Pulaski	 	 	 	 	1 	 	 	 	1 	 	 	 	 	 	 	 	 	1 	3 	

Putnam	 	 	 	 	 	 	1 	 	 	 	1 	1 	1 	3 	1 	 	1 	1 	10 	

Quitman	 	 	 	 	 	 	1 	1 	 	 	 	 	 	 	 	 	 	 	2 	

Rabun	 	 	 	 	1 	2 	 	 	1 	 	1 	1 	 	 	1 	2 	 	 	9 	

Randolph	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	

Schley	 	 	 	 	1 	 	 	 	 	 	 	 	 	 	 	 	 	 	1 	

Screven	 	 	 	 	 	 	 	1 	 	 	 	2 	 	 	 	 	 	 	3 	

Seminole	 	 	 	 	 	 	 	 	 	 	 	 	1 	 	1 	1 	 	 	3 	

Stephens	 	 	 	 	 	 	 	 	 	 	3 	2 	1 	3 	2 	2 	3 	 	16 	

Stewart	 	 	1 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1 	

Sumter	 	 	 	 	 	1 	 	 	 	 	 	 	 	1 	 	1 	1 	 	4 	

Talbot	 	 	 	 	 	 	 	 	 	 	 	 	1 	 	 	 	 	 	1 	

Taliaferro	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	

Tattnall	 	 	 	 	 	1 	 	 	 	 	 	 	2 	 	1 	 	2 	1 	7 	

Taylor	 	 	 	 	 	 	 	 	 	 	 	 	1 	 	2 	 	 	1 	4 	

Telfair	 	 	 	 	 	 	 	 	 	 	1 	 	 	 	 	1 	 	1 	3 	

Terrell	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	

Toombs	 	 	 	 	 	 	 	1 	 	1 	2 	1 	2 	1 	 	3 	1 	 	12 	

Towns	 	 	 	 	 	 	1 	 	1 	 	2 	1 	1 	 	2 	1 	 	 	9 	

Treutlen	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	

Turner	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1 	 	 	1 	

Twiggs	 	 	 	 	1 	 	 	 	 	 	 	1 	 	 	 	 	 	1 	3 	

Union	 	 	 	 	 	 	 	1 	 	1 	 	 	1 	1 	 	1 	1 	1 	7 	

Upson	 	 	1 	 	 	1 	 	 	1 	 	2 	1 	 	 	2 	3 	1 	 	12 	

Warren	 	 	 	 	 	1 	 	 	 	 	 	 	 	 	 	 	 	 	1 	

Washington	 	 	 	 	1 	 	 	 	 	 	 	 	 	 	 	1 	1 	1 	4 	

Wayne	 	 	 	1 	 	1 	2 	 	1 	1 	1 	 	3 	2 	3 	2 	3 	2 	22 	

Webster	 	1 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1 	2 	

Wheeler	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1 	 	1 	

White	 	 	 	 	1 	2 	1 	 	1 	 	 	4 	 	 	2 	1 	 	3 	15 	

Wilcox	 	 	 	 	 	 	 	 	 	 	 	1 	 	 	 	 	 	 	1 	

Wilkes	 	 	 	 	 	 	 	 	 	 	 	 	 	1 	 	1 	 	 	2 	

Wilkinson	 	 	1 	 	 	 	 	1 	 	 	 	 	 	 	 	 	 	 	2 	

Worth	 	 	 	 	 	 	 	1 	 	 	 	 	 	 	 	1 	1 	 	3 	

Baldwin	 	 	 	 	 	1 	 	 	 	2 	1 	 	1 	 	 	1 	 	 	6 	

Barrow	 	1 	2 	1 	1 	 	3 	3 	4 	2 	3 	3 	3 	1 	2 	4 	 	3 	36 	

Bartow	 	 	 	 	 	2 	 	2 	1 	5 	3 	6 	5 	5 	5 	4 	5 	4 	47 	

Bibb	1 	2 	2 	5 	2 	2 	1 	1 	2 	1 	1 	1 	5 	2 	3 	3 	3 	4 	41 	

Bulloch	 	 	 	 	2 	 	1 	1 	1 	2 	2 	4 	2 	4 	1 	2 	 	2 	24 	

Camden	 	 	 	1 	 	 	 	 	 	1 	3 	1 	4 	4 	2 	 	1 	3 	20 	

Carroll	 	1 	2 	2 	3 	4 	3 	4 	4 	10 	10 	9 	11 	9 	7 	7 	9 	11 	106 	

Catoosa	 	1 	 	1 	1 	 	 	1 	 	1 	3 	3 	1 	6 	4 	2 	2 	6 	32 	

Chatham	1 	 	4 	1 	 	1 	1 	 	6 	1 	2 	6 	3 	6 	10 	4 	11 	13 	70 	

Cherokee	1 	1 	1 	2 	2 	1 	5 	3 	5 	4 	5 	9 	5 	7 	5 	10 	17 	9 	92 	

Clarke	 	 	 	 	2 	 	 	2 	3 	3 	2 	1 	4 	2 	3 	5 	2 	5 	34 	

Clayton	 	1 	4 	6 	2 	3 	6 	 	6 	5 	11 	13 	8 	12 	5 	5 	12 	8 	107 	

Cobb	8 	6 	5 	7 	3 	5 	3 	2 	 	4 	7 	3 	3 	7 	2 	14 	33 	38 	150 	

Coffee	 	 	1 	 	 	 	1 	 	2 	 	3 	 	4 	3 	1 	2 	 	1 	18 	

Colquitt	 	 	1 	1 	 	 	 	 	 	 	1 	 	3 	 	2 	 	1 	 	9 	

Columbia	 	 	2 	 	 	1 	 	 	 	 	1 	1 	2 	 	3 	7 	8 	5 	30 	

Coweta	 	 	 	 	1 	5 	 	1 	 	5 	6 	3 	4 	5 	 	6 	2 	5 	43 	

DeKalb	3 	2 	3 	6 	6 	4 	5 	4 	11 	8 	13 	11 	9 	21 	7 	10 	20 	14 	157 	

Dougherty	 	1 	2 	1 	1 	 	 	1 	1 	3 	3 	 	2 	4 	1 	 	1 	2 	23 	

Douglas	 	1 	2 	1 	 	2 	3 	1 	1 	2 	1 	5 	 	5 	3 	4 	7 	13 	51 	

Effingham	 	 	1 	 	 	 	1 	 	 	1 	1 	3 	3 	2 	2 	1 	2 	2 	19 	

Fayette	 	 	 	 	1 	 	3 	1 	2 	2 	4 	4 	4 	1 	3 	3 	2 	2 	32 	

Floyd	 	2 	2 	 	 	2 	4 	 	2 	2 	 	7 	7 	9 	7 	2 	2 	3 	51 	

Forsyth	1 	 	1 	1 	 	 	1 	3 	3 	5 	3 	4 	10 	5 	6 	7 	12 	4 	66 	

Fulton	6 	12 	17 	9 	21 	11 	12 	16 	16 	24 	13 	24 	26 	17 	28 	31 	27 	45 	355 	

Glynn	2 	 	 	1 	 	1 	 	 	3 	3 	2 	 	 	1 	2 	2 	2 	3 	22 	

Gordon	 	1 	 	1 	1 	1 	1 	 	1 	 	1 	 	4 	4 	2 	2 	 	3 	22 	

Gwinnett	 	3 	7 	4 	5 	6 	5 	7 	10 	9 	9 	17 	13 	13 	22 	18 	20 	26 	194 	

Habersham	 	 	 	 	2 	 	 	 	1 	2 	2 	4 	 	1 	2 	 	1 	1 	16 	

Hall	 	 	 	2 	2 	2 	1 	4 	4 	3 	3 	4 	5 	3 	3 	4 	3 	4 	47 	

Henry	1 	 	1 	1 	1 	2 	1 	1 	1 	4 	7 	2 	6 	6 	3 	7 	7 	5 	56 	

Houston	 	 	 	2 	2 	 	 	 	 	 	2 	 	2 	 	1 	1 	2 	2 	14 	

Jackson	 	 	1 	1 	3 	2 	1 	 	4 	4 	5 	5 	2 	2 	5 	4 	7 	4 	50 	

Laurens	 	 	 	 	2 	 	 	 	 	1 	 	2 	2 	 	 	2 	 	2 	11 	

Liberty	 	1 	 	 	 	1 	1 	 	1 	1 	1 	2 	1 	1 	3 	1 	2 	2 	18 	

Lowndes	 	 	1 	 	 	 	2 	 	 	1 	1 	4 	4 	2 	1 	1 	2 	3 	22 	

Murray	 	1 	1 	 	 	 	1 	1 	2 	3 	4 	1 	6 	1 	 	5 	2 	2 	30 	

Muscogee	 	2 	 	1 	2 	1 	 	1 	 	1 	4 	10 	8 	7 	2 	7 	4 	5 	55 	

Newton	 	 	1 	2 	1 	2 	 	2 	1 	 	4 	1 	5 	4 	3 	1 	1 	3 	31 	

Paulding	1 	1 	1 	2 	3 	4 	2 	3 	1 	6 	5 	7 	7 	6 	6 	16 	12 	12 	95 	

Polk	 	 	 	1 	 	2 	 	 	1 	2 	 	1 	2 	 	2 	3 	 	1 	15 	

Richmond	 	 	 	1 	2 	1 	1 	3 	3 	2 	5 	7 	2 	1 	 	10 	17 	14 	69 	

Rockdale	 	 	 	 	3 	 	 	 	1 	1 	3 	1 	 	1 	1 	1 	3 	4 	19 	

Spalding	 	 	2 	 	1 	3 	 	 	2 	4 	3 	2 	2 	7 	4 	3 	4 	4 	41 	

Thomas	 	 	1 	 	 	 	 	 	 	 	1 	 	 	 	 	 	 	1 	3 	

Tift	 	 	 	 	 	 	 	 	 	 	 	1 	1 	 	 	1 	1 	 	4 	

Troup	 	1 	 	 	 	2 	 	 	2 	1 	1 	3 	3 	4 	3 	5 	5 	3 	33 	

Walker	 	 	 	2 	2 	1 	3 	 	3 	3 	2 	5 	2 	4 	 	2 	2 	2 	33 	

Walton	 	 	 	 	 	1 	 	 	 	1 	 	3 	1 	5 	5 	4 	9 	3 	32 	

Ware	 	 	 	 	 	 	1 	 	 	1 	3 	1 	 	1 	 	7 	2 	1 	17 	

Whitfield	 	 	 	1 	 	5 	2 	 	2 	4 	2 	 	4 	6 	3 	2 	4 	4 	39 	

County Summary	28 	47 	78 	78 	100 	105 	95 	84 	144 	172 	223 	260 	260 	273 	246 	307 	350 	378 	3,228 	
Copyright © 2003-2017 Version:1.1 Georgia Department of Public Health, Office of Health Indicators for Planning, all rights reserved. Contact us - ohip@dhr.state.ga.us
