Deaths  by Residence, Both Heroin and Opioid Pain Reliever (OPR), White
		1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	Selected Years Total
		Deaths 	Deaths 	Deaths 	Deaths 	Deaths 	Deaths 	Deaths 	Deaths 	Deaths 	Deaths 	Deaths 	Deaths 	Deaths 	Deaths 	Deaths 	Deaths 	Deaths 	Deaths 	Deaths 

Montgomery	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	

Morgan	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	

Oconee	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	

Oglethorpe	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	

Peach	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	

Pickens	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	

Pierce	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	

Pike	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	

Pulaski	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	

Putnam	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	

Quitman	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	

Rabun	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	

Randolph	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	

Schley	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	

Screven	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	

Seminole	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	

Stephens	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	

Stewart	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	

Sumter	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	

Talbot	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	

Taliaferro	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	

Tattnall	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	

Taylor	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	

Telfair	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	

Terrell	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	

Toombs	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	

Towns	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1 	1 	

Treutlen	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	

Turner	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	

Twiggs	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	

Union	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1 	1 	2 	

Upson	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	

Warren	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	

Washington	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	

Wayne	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	

Webster	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	

Wheeler	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	

White	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	

Wilcox	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	

Wilkes	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	

Wilkinson	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	

Worth	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1 	1 	

Baldwin	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	

Barrow	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2 	2 	

Bartow	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	

Bibb	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1 	 	1 	2 	

Bulloch	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	

Camden	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	

Carroll	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1 	 	 	1 	

Catoosa	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1 	1 	2 	

Chatham	 	 	 	 	 	 	 	1 	 	 	 	 	 	 	1 	 	 	1 	3 	

Cherokee	 	 	 	1 	 	 	 	 	 	1 	 	 	 	1 	 	1 	5 	2 	11 	

Clarke	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1 	 	1 	 	2 	

Clayton	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1 	 	1 	

Cobb	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	8 	13 	7 	28 	

Coffee	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	

Colquitt	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	

Columbia	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1 	 	1 	2 	

Coweta	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1 	1 	2 	

DeKalb	 	 	 	 	 	 	 	 	 	 	 	 	 	1 	 	3 	3 	 	7 	

Dougherty	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	

Douglas	 	 	 	 	 	 	 	 	 	1 	 	 	 	 	 	3 	 	 	4 	

Effingham	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	

Fayette	 	1 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1 	

Floyd	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1 	 	1 	

Forsyth	 	 	 	 	 	 	 	 	 	 	1 	 	2 	1 	1 	 	6 	 	11 	

Fulton	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2 	7 	17 	7 	33 	

Glynn	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1 	 	 	1 	2 	

Gordon	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	

Gwinnett	 	1 	 	 	 	 	 	 	1 	 	 	 	 	 	1 	3 	7 	4 	17 	

Habersham	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	

Hall	 	 	 	1 	 	 	 	 	 	 	1 	 	 	 	 	 	1 	 	3 	

Henry	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1 	3 	1 	5 	

Houston	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	

Jackson	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	

Laurens	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	

Liberty	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	

Lowndes	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	

Murray	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1 	 	1 	

Muscogee	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1 	 	1 	

Newton	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	

Paulding	 	 	 	 	 	 	 	1 	 	 	 	1 	 	 	 	2 	2 	 	6 	

Polk	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	

Richmond	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	

Rockdale	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1 	 	1 	

Spalding	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1 	1 	

Thomas	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1 	1 	

Tift	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	

Troup	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	

Walker	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	

Walton	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2 	1 	3 	

Ware	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	

Whitfield	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	

County Summary	 	2 	 	2 	 	 	 	2 	1 	2 	2 	1 	2 	3 	7 	33 	69 	37 	163 	
Copyright © 2003-2017 Version:1.1 Georgia Department of Public Health, Office of Health Indicators for Planning, all rights reserved. Contact us - ohip@dhr.state.ga.us
